Iteration,NumAssemblers,NumForklifts,NumInternalForklifts,ObjectiveValue
12,5.0,5.0,4.0,9.0
10,4.0,4.0,5.0,9.0
1,5.0,5.0,5.0,9.0
11,6.0,5.0,6.0,9.0
6,4.0,5.0,3.0,9.0
8,4.0,6.0,6.0,9.0
5,6.0,6.0,3.0,9.0
7,5.0,3.0,6.0,9.0
9,5.0,4.0,3.0,9.0
4,6.0,3.0,3.0,9.0
2,4.0,3.0,3.0,9.0
3,6.0,6.0,6.0,9.0
13,6.0,4.0,5.0,9.0
14,5.0,5.0,6.0,9.0
15,4.0,3.0,4.0,9.0
16,6.0,6.0,5.0,9.0
17,6.0,5.0,4.0,9.0
19,5.0,4.0,4.0,9.0
18,4.0,5.0,5.0,9.0
21,5.0,6.0,4.0,9.0
20,6.0,5.0,5.0,9.0
23,4.0,6.0,4.0,9.0
22,6.0,3.0,6.0,9.0
24,5.0,6.0,3.0,9.0
25,5.0,6.0,6.0,9.0
26,5.0,4.0,5.0,9.0
27,6.0,3.0,4.0,9.0
30,5.0,4.0,6.0,9.0
29,5.0,3.0,5.0,9.0
28,5.0,6.0,5.0,9.0
31,5.0,3.0,3.0,9.0
33,6.0,6.0,4.0,9.0
32,4.0,4.0,3.0,9.0
34,4.0,4.0,6.0,9.0
38,4.0,3.0,5.0,9.0
37,4.0,5.0,6.0,9.0
35,5.0,3.0,4.0,9.0
39,5.0,5.0,3.0,9.0
36,4.0,4.0,4.0,9.0
40,4.0,5.0,4.0,9.0
41,6.0,4.0,3.0,9.0
42,6.0,5.0,3.0,9.0
43,6.0,4.0,6.0,9.0
44,6.0,4.0,4.0,9.0
46,4.0,6.0,5.0,9.0
45,4.0,3.0,6.0,9.0
48,6.0,3.0,5.0,9.0
47,4.0,6.0,3.0,9.0
