Iteration,CollectionTable,Assembly,Terminal,ObjectiveValue
11,2.0,6.0,4.0,46.741701018837844
12,6.0,4.0,3.0,44.87055282458572
1,3.0,3.0,3.0,42.93498339219732
10,2.0,3.0,0.0,42.93808731616122
9,5.0,1.0,0.0,45.67321054442499
5,0.0,4.0,6.0,45.32935362369733
6,5.0,1.0,6.0,46.18756603722215
4,5.0,6.0,0.0,46.401511014917844
8,1.0,6.0,1.0,50.68272248788303
3,6.0,6.0,6.0,46.63054062895855
2,0.0,0.0,0.0,42.620384789839655
7,1.0,0.0,5.0,46.56831617797641
14,3.0,4.0,4.0,45.30898187734288
13,0.0,3.0,3.0,43.05995241093027
15,0.0,0.0,1.0,43.2964726149976
16,6.0,5.0,0.0,43.237801431706224
17,5.0,0.0,2.0,42.965200055241674
20,4.0,1.0,6.0,45.74337137938205
18,0.0,5.0,1.0,43.3747538292257
19,6.0,5.0,6.0,43.35577584797701
22,0.0,1.0,4.0,46.10469615680277
21,0.0,5.0,6.0,43.553174439987856
23,6.0,5.0,3.0,43.409685926408216
24,3.0,3.0,2.0,42.98883311563275
26,3.0,3.0,0.0,43.20691776448301
25,3.0,3.0,4.0,43.2089370590051
27,2.0,3.0,3.0,43.093458766574564
28,4.0,3.0,6.0,43.33707187907435
29,2.0,3.0,2.0,43.00949649763541
31,6.0,4.0,4.0,45.25287572968073
32,6.0,4.0,2.0,44.939924902169714
30,3.0,2.0,0.0,42.807009146377794
33,0.0,3.0,6.0,43.30378370878029
35,3.0,2.0,3.0,43.07355271182049
34,6.0,0.0,0.0,43.25364302267477
36,3.0,0.0,0.0,43.201467343708956
37,1.0,1.0,0.0,48.37536015379423
38,0.0,1.0,1.0,45.86160540803448
39,2.0,2.0,0.0,43.50946356550592
40,2.0,3.0,1.0,43.09287176149242
41,4.0,0.0,2.0,42.89767135526389
42,6.0,6.0,0.0,46.29789750349952
44,4.0,1.0,2.0,46.34973122073495
43,2.0,2.0,2.0,43.219097922531645
45,3.0,2.0,1.0,43.75072970764248
46,0.0,2.0,0.0,43.48079068056477
47,4.0,1.0,0.0,45.6792109442609
48,0.0,0.0,6.0,43.70078430848583
